obj_key,obj_subprg,Кодзадачи,ДатаНачалаЗадачи,Статуспоэкспертизе,Экспертиза,season,Скорость,Кол-во рабочих,Генподрядчик,Генпроектировщик,Площадь,2023-01-17,2023-01-23,2023-02-06,2023-02-13,2023-02-20,2023-02-27,2023-03-06,2023-03-13,2023-03-20,2023-03-27,2023-04-03,2023-04-10,2023-04-17,2023-04-24,2023-05-02,2023-05-10,2023-05-15,2023-05-22,2023-05-29,y
017-0527,0,3.3,737853,0,0,2,0.7575757575757576,0,5,8,0.0,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,104
017-0527,0,3.8,738039,0,0,4,0.0,0,5,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
017-0527,0,4,738025,0,0,3,0.0,0,5,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623
017-0527,0,4.1.1,738279,0,0,2,0.0,0,5,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
017-0527,0,4.10,738612,0,0,2,0.0,0,5,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
017-0527,0,4.11,738277,0,0,2,0.0,0,5,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309
017-0527,0,4.12,738580,0,0,2,0.0,0,5,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
017-0527,0,4.2,738104,0,0,4,0.0,0,5,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
017-0527,0,4.3,738125,0,0,1,0.0,0,5,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
017-0527,0,4.4,738135,0,0,1,0.0,0,5,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233
017-0527,0,4.5,738350,0,0,3,0.0,0,5,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
017-0527,0,4.6,738322,0,0,2,0.0,0,5,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
017-0527,0,4.7,738307,0,0,2,0.0,0,5,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302
017-0527,0,4.8,738307,0,0,2,0.0,0,5,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341
017-0527,0,4.9,738254,0,0,2,0.0,0,5,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355
017-0527,0,5,738614,0,0,2,0.0,0,5,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
019-0428,0,1,737675,0,0,4,0.7575757575757576,36,4,12,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,500
019-0428,0,1.4.2,738172,0,0,1,0.7575757575757576,36,4,12,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,3
019-0428,0,3,737810,0,0,1,0.6287878787878788,36,4,12,0.0,72,72,78,78,77,77,78,78,80,80,81,81,80,82,83,82,82,83,83,981
019-0428,0,3.1,737871,0,0,2,0.7575757575757576,36,4,12,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,444
019-0428,0,3.11,737810,0,0,1,0.7575757575757576,36,4,12,0.0,96,96,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,100,100,845
019-0428,0,3.13,738546,1,0,2,0.0,36,4,12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
019-0428,0,3.15,738117,0,0,4,0.3712121212121212,36,4,12,0.0,14,14,28,28,28,28,31,31,38,38,43,43,44,48,48,48,48,49,49,624
019-0428,0,3.3,737871,0,0,2,0.7575757575757576,36,4,12,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,401
019-0428,0,4,738175,0,0,1,0.0681818181818181,36,4,12,0.0,6,6,6,6,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,842
019-0428,0,4.1.1,738622,0,0,4,0.0,36,4,12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
019-0428,0,4.10,738956,0,0,2,0.0,36,4,12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
019-0428,0,4.11,738650,0,0,3,0.0,36,4,12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157
019-0428,0,4.12,738795,0,0,4,0.0,36,4,12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211
019-0428,0,4.2,738175,0,0,1,0.7575757575757576,36,4,12,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,119
019-0428,0,4.3,738265,0,0,2,0.7575757575757576,36,4,12,0.0,95,95,95,95,95,95,95,100,100,100,100,100,100,100,100,100,100,100,100,320
019-0428,0,4.4,738315,0,0,2,0.7348484848484849,36,4,12,0.0,57,57,72,75,76,76,77,78,83,79,81,81,86,89,84,84,84,90,97,386
019-0428,0,4.5,738643,0,0,3,0.0,36,4,12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
019-0428,0,4.6,738635,0,0,3,0.0,36,4,12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119
019-0428,0,4.7,738690,0,0,3,0.0,36,4,12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234
019-0428,0,4.8,738944,0,0,2,0.0,36,4,12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
019-0428,0,4.9,738635,0,0,3,0.0,36,4,12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279
019-0428,0,5,738688,0,0,3,0.0,36,4,12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311
019-0428,0,5.11,739016,0,0,2,0.0,36,4,12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
019-0428,0,7.1,739007,0,0,2,0.0,36,4,12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
019-0428,0,7.1.8,739021,0,0,2,0.0,36,4,12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
019-0428,0,7.4,739022,0,0,2,0.0,36,4,12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
019-0428,0,8,739037,0,0,2,0.0,36,4,12,9067.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223
019-0429,0,1,737283,0,0,3,0.7575757575757576,65,7,11,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,966
019-0429,0,1.4.2,738125,0,0,1,0.7575757575757576,65,7,11,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,124
019-0429,0,3,737731,0,0,4,0.5523809523809524,65,7,11,0.0,29,29,38,38,38,38,39,39,43,44,48,48,48,54,58,52,52,52,52,1022
019-0429,0,3.1,737760,0,0,1,0.7575757575757576,65,7,11,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,106
019-0429,0,3.11,737731,0,0,4,0.7575757575757576,65,7,11,0.0,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,100,100,924
019-0429,0,3.13,738546,1,0,2,0.0,65,7,11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
019-0429,0,3.15,738351,0,0,3,0.4666666666666667,65,7,11,0.0,10,10,23,23,24,24,24,24,30,31,36,37,37,43,49,44,44,44,44,289
019-0429,0,3.3,737745,0,0,4,0.7575757575757576,65,7,11,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,101
019-0429,0,3.8,738012,0,0,3,0.7575757575757576,65,7,11,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,41
019-0429,0,4,738335,0,0,2,0.1287878787878787,65,7,11,0.0,11,11,12,13,14,14,14,14,14,14,15,15,15,15,16,16,16,16,17,608
019-0429,0,4.1.1,738608,0,0,4,0.0,65,7,11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
019-0429,0,4.10,738835,0,0,1,0.0,65,7,11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
019-0429,0,4.11,738636,0,0,2,0.0,65,7,11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115
019-0429,0,4.12,738662,0,0,3,0.0,65,7,11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140
019-0429,0,4.2,738336,0,0,2,0.7575757575757576,65,7,11,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99
019-0429,0,4.3,738335,0,0,2,1.5873015873015872,117,7,11,0.0,66,66,66,66,66,66,65,65,64,63,75,75,100,100,100,100,100,100,100,285
019-0429,0,4.4,738414,0,0,4,0.7121212121212122,65,7,11,0.0,49,49,62,76,83,83,84,84,87,85,88,87,87,87,87,86,86,94,94,287
019-0429,0,4.5,738662,0,0,3,0.0,65,7,11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
019-0429,0,4.6,738664,0,0,3,0.0,65,7,11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109
019-0429,0,4.7,738577,0,0,2,0.0,65,7,11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202
019-0429,0,4.8,738699,0,0,3,0.0,65,7,11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207
019-0429,0,4.9,738607,0,0,2,0.0,65,7,11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209
019-0429,0,5,738657,0,0,3,0.0,65,7,11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317
019-0429,0,5.11,738903,0,0,2,0.0,65,7,11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
019-0429,0,7.1,738956,0,0,2,0.0,65,7,11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
019-0429,0,7.1.8,739028,0,0,2,0.0,65,7,11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
019-0429,0,7.4,739029,0,0,2,0.0,65,7,11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
019-0429,0,8,739036,0,0,2,0.0,65,7,11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215
019-0430,0,1,737677,0,0,4,0.7575757575757576,0,15,23,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,779
019-0430,0,1.4.2,738326,0,0,2,0.7575757575757576,0,15,23,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,130
019-0430,0,3,737774,0,0,1,1.2678571428571428,0,15,23,0.0,66,66,66,67,67,67,68,68,69,69,63,64,64,65,66,67,69,70,71,969
019-0430,0,3.1,738095,0,0,4,0.7575757575757576,0,15,23,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,471
019-0430,0,3.11,737938,0,0,2,0.7575757575757576,0,15,23,0.0,99,99,99,99,99,99,99,99,99,99,99,99,99,99,100,100,100,100,100,696
019-0430,0,3.13,738533,1,0,2,0.6060606060606061,0,15,23,0.0,0,2,21,27,35,35,0,0,0,20,30,26,24,36,51,60,65,75,80,101
019-0430,0,3.15,738368,0,0,3,0.2424242424242424,0,15,23,0.0,3,3,3,5,6,6,7,8,10,12,12,13,15,17,18,21,27,29,32,354
019-0430,0,3.3,738106,0,0,4,0.7575757575757576,0,15,23,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,229
019-0430,0,3.8,737774,0,0,1,0.7575757575757576,0,15,23,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0
019-0430,0,4,738581,0,0,2,0.0,0,15,23,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695
019-0430,0,4.1.1,738609,0,0,3,0.0,0,15,23,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
019-0430,0,4.10,738996,0,0,4,0.0,0,15,23,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128
019-0430,0,4.11,738878,0,0,3,0.0,0,15,23,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227
019-0430,0,4.12,738946,0,0,2,0.0,0,15,23,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
019-0430,0,4.2,738581,0,0,2,0.0,0,15,23,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104
019-0430,0,4.3,738611,0,0,4,0.0,0,15,23,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160
019-0430,0,4.4,738644,0,0,4,0.0,0,15,23,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267
019-0430,0,4.5,738878,0,0,3,0.0,0,15,23,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
019-0430,0,4.6,738803,0,0,3,0.0,0,15,23,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205
019-0430,0,4.7,738832,0,0,2,0.0,0,15,23,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258
019-0430,0,4.8,738926,0,0,4,0.0,0,15,23,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
019-0430,0,4.9,738753,0,0,2,0.0,0,15,23,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312
019-0430,0,5,738937,0,0,4,0.0,0,15,23,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361
019-0430,0,5.11,739026,0,0,2,0.0,0,15,23,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
019-0430,0,7.1,738984,0,0,2,0.0,0,15,23,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
019-0430,0,7.1.8,739021,0,0,2,0.0,0,15,23,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
019-0430,0,7.4,739022,0,0,2,0.0,0,15,23,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
019-0430,0,8,739037,0,0,2,0.0,0,15,23,16094.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223
019-0431,0,1,737731,0,0,4,0.7575757575757576,213,16,22,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,266
019-0431,0,1.4.2,737801,0,0,1,0.7575757575757576,213,16,22,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,25
019-0431,0,3,737811,0,0,1,1.9387755102040816,254,16,22,0.0,95,95,95,95,95,95,94,94,94,94,94,93,93,93,93,95,95,95,95,931
019-0431,0,3.1,737822,0,0,2,0.7575757575757576,213,16,22,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,274
019-0431,0,3.11,737860,0,0,2,0.7575757575757576,213,16,22,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,165
019-0431,0,3.13,738580,0,0,2,0.7575757575757576,213,16,22,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
019-0431,0,3.15,737867,0,0,2,1.6785714285714286,183,16,22,0.0,94,94,94,93,93,93,93,93,93,93,92,92,92,92,92,94,94,94,94,818
019-0431,0,3.3,737854,0,0,2,0.7575757575757576,213,16,22,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,77
019-0431,0,3.8,737959,0,0,2,0.7575757575757576,213,16,22,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0
019-0431,0,4,737894,0,0,2,0.5984848484848485,213,16,22,0.0,66,67,69,70,69,69,71,72,73,73,72,73,73,74,75,76,77,78,79,822
019-0431,0,4.1.1,738382,0,0,3,0.7575757575757576,213,16,22,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,32
019-0431,0,4.10,738592,0,0,2,0.0,213,16,22,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
019-0431,0,4.11,738211,0,0,2,0.7575757575757576,213,16,22,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,304
019-0431,0,4.12,738343,0,0,3,0.5151515151515151,213,16,22,0.0,41,42,43,44,44,44,45,45,47,48,48,49,50,54,57,58,63,65,68,343
019-0431,0,4.2,737894,0,0,2,0.7575757575757576,213,16,22,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,199
019-0431,0,4.3,737967,0,0,2,0.7575757575757576,213,16,22,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,73
019-0431,0,4.4,737984,0,0,3,0.7575757575757576,213,16,22,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,419
019-0431,0,4.5,738305,0,0,2,0.7575757575757576,213,16,22,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,210
019-0431,0,4.6,738321,0,0,2,0.75,213,16,22,0.0,89,91,93,94,94,94,95,95,95,96,96,97,97,98,98,99,99,99,99,349
019-0431,0,4.7,738257,0,0,2,0.5,213,16,22,0.0,43,45,47,48,50,50,54,55,56,56,55,56,57,59,60,62,63,65,66,430
019-0431,0,4.8,738552,0,0,1,0.4,213,16,22,0.0,0,20,22,24,25,25,27,29,34,35,38,39,40,41,42,43,45,50,46,150
019-0431,0,4.9,738142,0,0,1,0.8877551020408163,195,16,22,0.0,84,83,83,84,81,81,82,83,83,83,83,84,84,85,85,86,86,86,87,562
019-0431,0,5,738508,0,0,2,0.0075757575757575,213,16,22,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,152
019-0431,0,5.11,738651,0,0,3,0.0,213,16,22,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
019-0431,0,7.1,738678,0,0,2,0.0,213,16,22,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
019-0431,0,7.1.8,738701,0,0,3,0.0,213,16,22,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
019-0431,0,7.4,738715,0,0,3,0.0,213,16,22,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
019-0431,0,8,738733,0,0,3,0.0,213,16,22,19433.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223
019-0463,3,1,737501,0,0,2,0.7575757575757576,57,12,24,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,156
019-0463,3,3,737276,0,0,3,0.7575757575757576,57,12,24,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1183
019-0463,3,3.1,737413,0,0,1,0.7575757575757576,57,12,24,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,14
019-0463,3,3.11,737650,0,0,1,0.7575757575757576,57,12,24,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,235
019-0463,3,3.13,737964,2,0,2,0.7575757575757576,57,12,24,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,117
019-0463,3,3.15,737766,0,0,1,0.7575757575757576,57,12,24,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,693
019-0463,3,3.3,737413,0,0,1,0.7575757575757576,57,12,24,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,27
019-0463,3,3.8,737957,0,0,2,0.7575757575757576,57,12,24,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0
019-0463,3,4,737643,0,0,3,0.7575757575757576,57,12,24,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,874
019-0463,3,4.1.1,738148,0,0,1,0.7575757575757576,57,12,24,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0
019-0463,3,4.10,738326,0,0,2,0.7575757575757576,57,12,24,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,182
019-0463,3,4.11,738165,0,0,1,0.7575757575757576,57,12,24,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,350
019-0463,3,4.12,738312,0,0,2,0.7575757575757576,57,12,24,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,205
019-0463,3,4.2,737696,0,0,4,0.7575757575757576,57,12,24,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,93
019-0463,3,4.3,737797,0,0,1,0.7575757575757576,57,12,24,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,354
019-0463,3,4.4,737836,0,0,2,0.7575757575757576,57,12,24,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,267
019-0463,3,4.5,738099,0,0,4,0.7575757575757576,57,12,24,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,306
019-0463,3,4.6,738081,0,0,4,0.7575757575757576,57,12,24,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,434
019-0463,3,4.7,738064,0,0,4,0.7575757575757576,57,12,24,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,435
019-0463,3,4.8,738366,0,0,3,0.7575757575757576,57,12,24,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,60
